ID Group,Group,ID Industry,Industry,ID Year,Year,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
9,"Educational Services, & Health Care & Social Assistance",14,"Educational Services",2016,"2016",58492,3281.432004476095,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
2,"Manufacturing (Group)",3,"Manufacturing",2016,"2016",31929,2903.3584001979502,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
9,"Educational Services, & Health Care & Social Assistance",15,"Health Care & Social Assistance",2016,"2016",92200,5140.05145888638,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
1,"Construction (Group)",2,"Construction",2016,"2016",65792,4600.727116445834,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2016,"2016",78671,4844.081337054529,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,"Accommodation & Food Services",2016,"2016",212730,8403.158096810985,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2016,"2016",1224,611.6796547213255,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2016,"2016",51583,4327.11971177133,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2016,"2016",1135,559.9464260087746,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
5,"Transportation & Warehousing, & Utilities",6,"Transportation & Warehousing",2015,"2015",42465,3401.4463100275448,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
6,"Information (Group)",8,"Information",2015,"2015",13581,1844.6246230602042,"Las Vegas-Henderson-Paradise, NV","31000US29820","las-vegas-paradise-nv-metro-area"
